timestamp,model_id,model_type,task_type,metric_name,metric_value,notes
2025-08-12T19:38:08.813144,summarizer_v1,Initial run,unknown,coherence_score,0.85,
2025-08-12T19:38:08.820888,qa_bot_v2,After prompt tuning,qa,accuracy,0.92,
2025-08-12T19:38:10.209697,summarization_framework_gemini-2.5-flash,"Input: 'The quick brown fox jumps over the lazy dog. This ...', Reference: 'A pangram is a sentence with every letter of the alphabet, used for testing typefaces.', Hypothesis: '""The quick brown fox jumps over the lazy dog"" is a classic pangram, a sentence containing every letter of the alphabet at least once. Pangrams are commonly used to display typefaces or test keyboards.'",summarization,bleu_score,0.09207598308796072,
2025-08-12T19:38:10.217047,summarization_framework_gemini-2.5-flash,"Input: 'The quick brown fox jumps over the lazy dog. This ...', Reference: 'A pangram is a sentence with every letter of the alphabet, used for testing typefaces.', Hypothesis: '""The quick brown fox jumps over the lazy dog"" is a classic pangram, a sentence containing every letter of the alphabet at least once. Pangrams are commonly used to display typefaces or test keyboards.'",summarization,rouge1,0.5306122448979592,
2025-08-12T19:38:10.221702,summarization_framework_gemini-2.5-flash,"Input: 'The quick brown fox jumps over the lazy dog. This ...', Reference: 'A pangram is a sentence with every letter of the alphabet, used for testing typefaces.', Hypothesis: '""The quick brown fox jumps over the lazy dog"" is a classic pangram, a sentence containing every letter of the alphabet at least once. Pangrams are commonly used to display typefaces or test keyboards.'",summarization,rouge2,0.2553191489361702,
2025-08-12T19:38:10.230149,summarization_framework_gemini-2.5-flash,"Input: 'The quick brown fox jumps over the lazy dog. This ...', Reference: 'A pangram is a sentence with every letter of the alphabet, used for testing typefaces.', Hypothesis: '""The quick brown fox jumps over the lazy dog"" is a classic pangram, a sentence containing every letter of the alphabet at least once. Pangrams are commonly used to display typefaces or test keyboards.'",summarization,rougeL,0.4489795918367347,
2025-08-12T19:38:11.104335,qa_framework_gemini-2.0-flash,"Question: 'What is the purpose of LangChain?', Context: 'LangChain is a framework for developing applicatio...', Reference: 'LangChain is a framework for developing applications powered by large language models, enabling data-aware and agentic applications.', Hypothesis: 'The purpose of LangChain is to provide a framework for developing applications powered by large language models. It aims to enable the creation of applications that are data-aware and agentic.'",qa,bleu_score,0.30184771922017617,
2025-08-12T19:38:11.144020,qa_framework_gemini-2.0-flash,"Question: 'What is the purpose of LangChain?', Context: 'LangChain is a framework for developing applicatio...', Reference: 'LangChain is a framework for developing applications powered by large language models, enabling data-aware and agentic applications.', Hypothesis: 'The purpose of LangChain is to provide a framework for developing applications powered by large language models. It aims to enable the creation of applications that are data-aware and agentic.'",qa,rouge1,0.7346938775510204,
2025-08-12T19:38:11.164510,qa_framework_gemini-2.0-flash,"Question: 'What is the purpose of LangChain?', Context: 'LangChain is a framework for developing applicatio...', Reference: 'LangChain is a framework for developing applications powered by large language models, enabling data-aware and agentic applications.', Hypothesis: 'The purpose of LangChain is to provide a framework for developing applications powered by large language models. It aims to enable the creation of applications that are data-aware and agentic.'",qa,rouge2,0.5531914893617021,
2025-08-12T19:38:11.180453,qa_framework_gemini-2.0-flash,"Question: 'What is the purpose of LangChain?', Context: 'LangChain is a framework for developing applicatio...', Reference: 'LangChain is a framework for developing applications powered by large language models, enabling data-aware and agentic applications.', Hypothesis: 'The purpose of LangChain is to provide a framework for developing applications powered by large language models. It aims to enable the creation of applications that are data-aware and agentic.'",qa,rougeL,0.6938775510204082,
